Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,WS,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS/48
2855,1988,NBA,2,40,MIA,Orlando Graham\grahaor01,23.06,F,us,Auburn University at Montgomery,1989,1989,0,7,3.1,1.1,1.6,0,0,0,0.3,0.3,,0.5,-0.047
2856,1988,NBA,2,41,GSW,Keith Smart\smartke01,23.286,G,us,Indiana,1989,1989,0,2,6,1,0.5,1,0,0,0,0,0,1,-0.175
2857,1988,NBA,3,56,SAS,Barry Sumpter\sumptba01,22.235,F-C,us,Austin Peay State University,1989,1989,0,1,1,0,0,0,0,0,0,0,,,-0.894
2858,1988,NBA,3,67,UTA,Ricky Grace\graceri01,20.318,G,us,Oklahoma,1994,1994,0,3,2.7,1.3,0.3,0.3,0,0,0.667,0.667,,0,0.103
2859,1989,NBA,2,29,CHH,Dyron Nix\nixdy01,22.142,F,us,Tennessee,1990,1990,0,20,5.5,2,1.3,0.3,0.2,0.1,0.359,0.359,,0.688,-0.015
2860,1989,NBA,2,30,MIL,Frank Kornet\kornefr01,22.157,F,us,Vanderbilt,1990,1991,0,89,6.7,1.9,1.1,0.3,0.2,0,0.369,0.399,0.263,0.596,-0.004
2861,1989,NBA,2,33,LAC,Jay Edwards\edwarja02,20.18,G,us,Indiana,1990,1990,0,4,6.5,1.8,0.5,1,0.3,0,0.429,0.6,0,0.333,0.022
2862,1989,NBA,2,46,PHO,Ricky Blanton\blantri01,23.073,F,us,LSU,1993,1993,0,2,6.5,3,1.5,0.5,1,0,0.429,0.429,,,0.088
2863,1991,NBA,2,34,MIN,Myron Brown\brownmy01,21.24,G,us,Slippery Rock University of Pennsylvania,1992,1992,0,4,5.8,2.3,0.8,1.5,0.3,0,0.667,1,0.333,,0.032
2864,1992,NBA,1,25,LAC,Elmore Spencer\spencel01,22.206,C,us,UNLV,1993,1997,0,157,16.8,5.9,3.5,0.7,0.3,1.1,0.516,0.518,0,0.58,0.001
2865,1992,NBA,2,37,MIA,Isaiah Morris\morriis01,23.089,F,us,Arkansas,1993,1993,0,25,4.1,2.2,0.5,0.2,0.1,0,0.456,0.456,,0.75,-0.022
2866,1992,NBA,2,48,PHO,Brian Davis\davisbr02,22.009,F-G,us,Duke,1994,1994,0,68,5.5,1.9,0.8,0.3,0.2,0.1,0.317,0.317,0.333,0.735,0
2867,1992,NBA,2,52,CHI,Matt Steigenga\steigma01,22.095,F,us,Michigan State,1997,1997,0,2,6,1.5,1.5,1,0.5,0.5,0.25,0.5,0,0.5,-0.126
2868,1993,NBA,2,35,MIA,Ed Stokes\stokeed01,21.306,C,us,Arizona,1998,1998,0,4,4.3,0.8,1,0.3,0.3,0.5,0.333,0.333,,0.5,-0.077
2869,1993,NBA,2,42,SEA,Adonis Jordan\jordaad01,22.319,G,us,Kansas,1994,1999,0,10,9.7,2.1,0.6,2.2,0.3,0.1,0.296,0.333,0.25,0.5,-0.015
2870,1993,NBA,2,46,HOU,Richard Petruška\petruri01,24.162,C-F,sk,UCLA,1994,1994,0,22,4.2,2.4,1.4,0,0.1,0.1,0.435,0.419,0.467,0.75,-0.014
2871,1993,NBA,2,48,POR,Kevin Thompson\thompke01,22.149,C-F,us,NC State,1994,1994,0,14,4.1,0.9,0.9,0.2,0,0.1,0.429,0.462,0,0.5,-0.016
2872,1994,NBA,2,40,MIA,Jeff Webster\webstje01,23.136,F,us,Oklahoma,1996,1996,0,11,5.3,1.6,0.6,0.3,0.4,0,0.348,0.353,0.333,,-0.03
2873,1994,NBA,2,50,PHO,Charles Claxton\claxtch01,23.204,C,vi,Georgia,1996,1996,0,3,2.3,0.7,0.7,0,0,0.3,0.5,0.5,,0,-0.179
2874,1995,NBA,2,30,DET,Lou Roe\roelo01,22.354,F,us,UMass,1996,1997,0,66,7.3,2,1.4,0.3,0.2,0.1,0.333,0.347,0.25,0.647,-0.001
2875,1995,NBA,2,35,TOR,Jimmy King\kingji02,21.328,G,us,Michigan,1996,1997,0,64,13.9,4.5,1.8,1.4,0.4,0.2,0.429,0.471,0.147,0.691,0.001
2876,1995,NBA,2,36,VAN,Lawrence Moten\motenla01,23.1,G,us,Syracuse,1996,1998,0,119,15.2,6.3,1.5,1.5,0.6,0.3,0.408,0.45,0.299,0.652,0.001
2877,1995,NBA,2,37,LAL,Frankie King\kingfr01,23.027,G,us,Western Carolina University,1996,1997,0,13,6.1,2.1,1.2,0.5,0.5,0,0.357,0.36,0.333,0.75,0.025
2878,1995,NBA,2,40,GSW,Dwayne Whitfield\whitfdw01,22.316,F,us,Jackson State University,1996,1996,0,8,15.3,5,3.1,0.3,0.4,0.3,0.433,0.433,,0.636,0.01
2879,1996,NBA,2,41,SAC,Jason Sasser\sasseja01,22.17,F,us,Texas Tech,1997,1999,0,14,7.7,2.1,1.1,0.3,0.4,0,0.412,0.419,0.333,0.5,-0.014
2880,1996,NBA,2,53,MIL,Jeff Nordgaard\nordgje01,23.129,F,us,Green Bay,1998,1998,0,13,3.7,1.4,1.1,0.2,0.2,0,0.278,0.278,,0.889,0.043
2881,1997,NBA,2,32,DEN,James Cotton\cottoja02,21.199,G,us,Cal State Long Beach,1998,1999,0,19,4.8,2.6,0.8,0,0.2,0.1,0.359,0.438,0,0.778,0.008
2882,1997,NBA,2,36,PHI,James Collins\collija01,23.238,G,us,Florida State,1998,1998,0,23,4.5,2.6,0.6,0.1,0.3,0.1,0.382,0.343,0.45,0.571,0.008
2883,1998,NBA,1,18,HOU,Mirsad Türkcan\turkcmi01,22.022,F,rs,,2000,2000,0,17,5.3,1.9,1.9,0.3,0.2,0.1,0.368,0.438,0,0.625,-0.019
2884,1999,NBA,1,25,MIA,Tim James\jamesti01,22.191,F,us,Miami (FL),2000,2002,0,43,6.1,1.6,1.1,0.3,0,0.2,0.329,0.329,0.333,0.652,-0.003
2885,1999,NBA,2,45,SAC,Ryan Robertson\roberry01,22.276,G,us,Kansas,2000,2000,0,1,25,5,0,0,0,0,0.333,0.5,0,1,-0.022
2886,1999,NBA,2,49,CHI,Lari Ketner\ketnela01,22.154,F-C,us,UMass,2000,2001,0,25,5.6,1.4,1.4,0.1,0.2,0.1,0.406,0.406,,0.667,-0.015
2887,2000,NBA,2,53,DEN,Dan McClintock\mcclida01,23.076,C,us,Northern Arizona University,2001,2001,0,6,9.7,3,2.8,0.2,0,0.3,0.5,0.5,,0,0.007
2888,2001,NBA,2,33,MEM,Will Solomon\solomwi01,22.348,G,us,Clemson,2002,2009,0,115,13.8,5.1,1.1,2,0.5,0.1,0.378,0.439,0.298,0.692,0
2889,2001,NBA,2,41,IND,Jamison Brewer\breweja01,20.225,G,us,Auburn,2002,2005,0,54,8.7,1.6,0.9,1,0.4,0,0.372,0.435,0.25,0.393,-0.001
2890,2001,NBA,2,49,MIA,Ken Johnson\johnske03,23.152,F-C,us,Ohio State,2003,2003,0,16,9.8,2,2,0,0.1,0.8,0.405,0.405,,0.333,-0.002
2891,2002,NBA,1,6,CLE,Dajuan Wagner\wagneda02,19.147,G,us,Memphis,2003,2007,0,103,21.4,9.4,1.4,1.9,0.7,0.1,0.366,0.385,0.321,0.77,0
2892,2002,NBA,2,32,MEM,Robert Archibald\archiro01,22.094,F,gb,Illinois,2003,2004,0,44,7.5,1.2,1.6,0.4,0.3,0.1,0.283,0.283,,0.429,-0.004
2893,2002,NBA,2,38,HOU,Tito Maddox\maddoti01,21.024,G,us,Fresno State,2003,2003,0,9,3.9,1.2,0.8,0.6,0.3,0.1,0.25,0.333,0,0.625,-0.011
2894,2002,NBA,2,48,MIL,Chris Owens\owensch01,23.123,F,us,Texas,2003,2003,0,1,6,4,1,0,0,0,0.667,0.667,,,-0.032
2895,2002,NBA,2,57,SAS,Randy Holcomb\holcora01,22.328,F,us,San Diego State,2006,2006,0,4,2.8,0.5,0.3,0,0,0,1,1,,,0.15
2896,2003,NBA,2,33,MIA,Jerome Beasley\beaslje01,23.045,F,us,University of North Dakota,2004,2004,0,2,2.5,1,0.5,0,0,0,0.333,0.333,,,-0.117
2897,2003,NBA,2,39,NYK,Slavko Vraneš\vranesl01,20.152,C,rs,,2004,2004,0,1,3,0,0,0,0,0,0,0,,,-0.371
2898,2003,NBA,2,40,GSW,Derrick Zimmerman\zimmede01,21.211,G,us,Mississippi State,2006,2006,0,2,16,2,2,3.5,0,0,0.667,0.667,,,0.004
2899,2004,NBA,2,31,CHI,Jackson Vroman\vromaja01,23.024,F-C,us,Iowa State,2005,2006,0,87,12.8,3.3,3,0.6,0.4,0.3,0.408,0.412,0,0.58,0.001
2900,2004,NBA,2,32,WAS,Peter John Ramos\ramospe01,19.047,C,pr,,2005,2005,0,6,3.3,1.8,0.7,0,0,0.2,0.5,0.5,,0.5,-0.108
2901,2004,NBA,2,55,HOU,Luis Flores\florelu01,23.08,G,do,Manhattan College,2005,2005,0,16,4.8,2.2,0.2,0.7,0.1,0,0.483,0.474,0.5,1,-0.02
2902,2005,NBA,1,20,DEN,Julius Hodge\hodgeju01,21.228,G,us,NC State,2006,2007,0,23,4.3,1.2,0.7,0.8,0.3,0,0.44,0.44,,0.5,0.003
2903,2005,NBA,2,44,ORL,Martynas Andriuškevičius\andrima01,19.113,C,lt,,2006,2006,0,6,1.5,0,0.7,0,0.3,0,0,0,,,0.155
2904,2005,NBA,2,51,UTA,Robert Whaley\whalero01,23.079,C,us,Walsh University,2006,2006,0,23,9.2,2.1,1.9,0.7,0.3,0.3,0.404,0.404,,0.5,0.004
2905,2006,NBA,1,19,SAC,Quincy Douby\doubyqu01,22.048,G,us,Rutgers University,2007,2009,0,143,10.7,4.1,1.1,0.7,0.3,0.1,0.389,0.436,0.312,0.884,0
2906,2006,NBA,1,22,NJN,Marcus Williams\willima03,20.212,G,us,UConn,2007,2010,0,203,15.2,5.6,1.8,2.8,0.4,0,0.386,0.421,0.321,0.767,-0.001
2907,2006,NBA,2,38,GSW,Kosta Perović\perovko01,21.134,C,hr,,2008,2008,0,7,5.4,1.4,1.9,0.1,0,0.3,0.3,0.3,,0.667,0.06
